"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0.0333333333333333,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0.2
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.72,5.6
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0.4
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.72,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0.2
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0.2
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,2.2
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.4,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.4,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.68,5.6
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.4,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,0
